Site,CollectionDate,Month,Year,SampleID,Length,WetGonadicMass,WetSomaticMass,WetTotalMass,WGSI,DryGonadicMass,DrySomaticMass,DryShellMass,DryTotalMass,DGSI,PelletMass,CalGram,CalMus,UnburnedFuse,FuseEnergy,Notes
Seward,2014-04-28,April,2014,M279,36,0.1562,0.5404,0.6966,22.4232,0.0429,0.1017,2.5473,0.1446,29.668,0.1313,4785.87,692.04,.,.,
Seward,2014-04-28,April,2014,M280,36,0.3282,0.7229,1.0511,31.2244,0.0803,0.1389,2.4848,0.2192,36.6332,0.2134,4717.4,1034.05,2.4,17.48,
Seward,2014-04-28,April,2014,M281,30,0.2404,0.4414,0.6818,35.2596,0.0624,0.1063,1.7669,0.1687,36.9887,0.1646,4749.87,801.3,3.4,15.18,
Seward,2014-04-28,April,2014,M282,38,0.215,0.6604,0.8754,24.5602,0.0478,0.1212,1.916,0.169,28.284,0.1619,4697.04,793.8,1.9,18.63,
Seward,2014-04-28,April,2014,M283,33,0.2666,0.409,0.6756,39.4612,0.0637,0.0815,1.7499,0.1452,43.8705,0.1325,4799.58,696.9,3.2,15.64,
Seward,2014-04-28,April,2014,M284,36,0.1952,0.3475,0.5427,35.9683,0.0465,0.0842,1.1264,0.1307,35.5777,0.1276,4576.4,598.14,5.5,10.35,
Seward,2014-04-28,April,2014,M285,31,0.3259,0.6721,0.998,32.6553,0.0753,0.1412,1.4407,0.2165,34.7806,0.1696,4627.73,1001.9,3.3,15.41,
Seward,2014-04-28,April,2014,M286,38,0.1509,0.3731,0.524,28.7977,0.0371,0.0829,2.6037,0.12,30.9167,0.1051,4545.74,545.49,3.8,14.26,
Seward,2014-04-28,April,2014,M287,36,0.3191,0.4801,0.7992,39.9274,0.0634,0.1058,2.0189,0.1692,37.4704,0.151,4365.54,738.65,3.1,15.87,
Seward,2014-04-28,April,2014,M288,29,0.185,0.309,0.494,37.4494,0.0446,0.0726,1.0948,0.1172,38.0546,0.1073,4430.2,519.22,3.2,15.64,
Seward,2014-04-28,April,2014,M289,27,0.119,0.3215,0.4405,27.0148,0.0256,0.0703,0.8878,0.0959,26.6945,0.0821,4264,408.92,3,16.1,
Seward,2014-04-28,April,2014,M290,29,0.2346,0.3435,0.5781,40.5812,0.0443,0.0674,1.2854,0.1117,39.6598,0.1012,4303.14,480.66,2.6,17.02,
Seward,2014-04-28,April,2014,M291,25,0.078,0.2497,0.3277,23.8023,0.0266,0.0761,0.7688,0.1027,25.9007,0.0979,4261.81,437.69,3.5,14.95,
Seward,2014-04-28,April,2014,M292,29,0.2522,0.3695,0.6217,40.5662,0.0601,0.0818,1.2538,0.1419,42.3538,0.1322,4307.67,611.26,3.1,15.87,
Seward,2014-04-28,April,2014,M293,25,0.0681,0.2272,0.2953,23.0613,0.0301,0.0711,.,0.1012,29.7431,0.0926,4324.64,437.65,3.4,15.18,
Agnes,2015-07-14,July,2015,M294,28,0.1941,0.2724,0.4665,41.6077,0.0522,0.0585,0.6094,0.1107,47.1545,0.1072,4400.77,487.17,2.5,17.25,
Agnes,2015-07-14,July,2015,M295,34,0.1141,0.2485,0.3626,31.4672,0.0342,0.0659,1.7296,0.1001,34.1658,0.0966,3746.68,375.04,3.8,14.26,
Agnes,2015-07-14,July,2015,M296,29,0.1116,0.2865,0.3981,28.0332,0.0224,0.0527,0.6948,0.0751,29.8269,0.0701,4288.76,322.09,3.2,15.64,
Agnes,2015-07-14,July,2015,M297,36,0.1516,0.4758,0.6274,24.1632,0.0281,0.0766,1.9831,0.1047,26.8386,0.0971,4083.13,427.5,5.1,11.27,
Agnes,2015-07-14,July,2015,M298,28,0.1016,0.2437,0.3453,29.4237,0.0213,0.0447,1.1437,0.066,32.2727,0.06,4003.59,264.24,5.1,11.27,
Agnes,2015-07-14,July,2015,M299,30,0.0507,0.2828,0.3335,15.2024,0.01,0.0511,1.3635,0.0611,16.3666,.,.,.,.,.,
Agnes,2015-07-14,July,2015,M300,29,0.1195,0.2859,0.4054,29.4771,0.028,0.0547,0.9964,0.0827,33.8573,0.077,4078.16,337.26,3.9,14.03,
Agnes,2015-07-14,July,2015,M301,31,0.0655,0.2778,0.3433,19.0795,0.0112,0.054,1.0304,0.0652,17.1779,0.0612,4276.04,278.8,3.6,14.72,
Agnes,2015-07-14,July,2015,M302,29,0.144,0.1609,0.3049,47.2286,0.0279,0.0298,0.4869,0.0577,48.3536,.,.,.,.,.,
Agnes,2015-07-14,July,2015,M303,29,0.0969,0.1832,0.2801,34.5948,0.0159,0.028,1.2457,0.0439,36.2187,0.0348,4128.09,181.22,3.7,14.49,
Agnes,2015-07-14,July,2015,M304,29,0.0581,0.2513,0.3094,18.7783,0.0187,0.0512,0.8442,0.0699,26.7525,.,.,.,.,.,
Agnes,2015-07-14,July,2015,M305,28,0.0352,0.1964,0.2316,15.1986,0.0072,0.0315,.,0.0387,18.6047,.,.,.,.,.,
